iter	Accuracy	Logloss
832	0.8176913247	0.391376588
833	0.8176913247	0.391351333
834	0.8176913247	0.3913187116
835	0.8175493398	0.3912870419
836	0.8175493398	0.3912644997
837	0.8175493398	0.391243247
838	0.8175493398	0.3912218444
839	0.8176913247	0.3911988935
840	0.8178333097	0.3911724708
841	0.8178333097	0.3911462562
842	0.8178333097	0.3911307942
843	0.8176913247	0.3911172145
844	0.8176913247	0.3911026737
845	0.8176913247	0.3910852308
846	0.8176913247	0.3910572242
847	0.8176913247	0.3910377412
848	0.8178333097	0.3910107565
849	0.8179752946	0.3909971156
850	0.8179752946	0.3909737543
851	0.8179752946	0.3909522186
852	0.8179752946	0.3909329219
853	0.8179752946	0.3909183438
854	0.8179752946	0.3908874772
855	0.8179752946	0.3908649567
856	0.8181172796	0.3908466046
857	0.8181172796	0.3908241483
858	0.8181172796	0.3907903101
859	0.8179752946	0.390769756
860	0.8181172796	0.3907481695
861	0.8181172796	0.3907336527
862	0.8182592645	0.3907130798
863	0.8181172796	0.3906845747
864	0.8181172796	0.3906628904
865	0.8179752946	0.3906348722
866	0.8181172796	0.3906076355
867	0.8179752946	0.3905663154
868	0.8178333097	0.390535583
869	0.8178333097	0.3905049419
870	0.8176913247	0.390486533
871	0.8179752946	0.390461963
872	0.8182592645	0.3904174479
873	0.8182592645	0.3903795645
874	0.8181172796	0.3903499304
875	0.8182592645	0.3903158938
876	0.8182592645	0.3902897987
877	0.8182592645	0.3902642586
878	0.8182592645	0.3902451677
879	0.8184012495	0.3902218179
880	0.8184012495	0.3901852923
881	0.8184012495	0.3901588369
882	0.8184012495	0.3901192677
